Log Mode	Log Freq	Timestamp	AccX	AccY	AccZ	GyroX	GyroY	GyroZ	MagnX	MagnY	MagnZ	qw	qi	qj	qk
5	100	1555371647	-68.808	63.684	1024.068	51.70732	-109.7561	0.8536586	-54	-107	-347	0.9877566	0.08041627	0.04785302	-0.1248207
5	100	1555371647	65.88	608.292	794.22	-4.878049	5.243903	-16.58537	-445	-226	-197	0.5808261	0.1083712	-0.2851955	-0.7546922
5	100	1555371647	54.9	622.932	799.344	-3.04878	12.43902	-5.365854	-444	-227	-196	0.4548821	0.1191443	-0.3118381	-0.8256173
5	100	1555371647	38.796	608.292	797.88	-2.682927	10.12195	-1.95122	-443	-226	-200	0.4405077	0.1203955	-0.3142186	-0.8323008
5	100	1555371647	15.372	639.768	737.856	-1.95122	8.780488	-0.8536586	-442	-226	-196	0.4348375	0.1209449	-0.3151036	-0.8348643
5	100	1555371647	58.56	650.748	780.312	0.2439024	7.560976	0.1219512	-443	-227	-196	0.4317097	0.1212806	-0.315714	-0.8362072
5	100	1555371647	29.28	628.788	791.292	-0.2439024	6.707317	0.7317073	-441	-228	-197	0.429727	0.1215247	-0.3161412	-0.8370312
5	100	1555371647	41.724	637.572	770.796	-0.1219512	5	0.8536586	-441	-227	-199	0.4283815	0.1216163	-0.3164769	-0.8375805
5	100	1555371647	48.312	642.696	751.032	0.1219512	2.560976	1.341463	-441	-227	-196	0.4273824	0.1215247	-0.3168126	-0.8379772
5	100	1555371647	72.468	646.356	797.88	0.1219512	1.707317	0.8536586	-441	-227	-198	0.4265775	0.1213721	-0.3171484	-0.8382825
5	100	1555371647	60.024	617.808	795.684	-3.536585	2.439024	-0.7317073	-444	-228	-198	0.4259666	0.12125	-0.3172094	-0.8385876
5	100	1555371647	60.756	638.304	814.716	-4.512195	4.146341	-1.341463	-442	-228	-195	0.4254361	0.121189	-0.3170568	-0.8389233
5	100	1555371647	5.856	630.252	791.292	-5.487805	5.731708	-1.829268	-442	-228	-196	0.4251049	0.1212195	-0.3168432	-0.8391675
5	100	1555371647	56.364	630.252	786.168	-6.219512	7.073171	-2.073171	-441	-227	-197	0.4248013	0.1213111	-0.3165685	-0.8394116
5	100	1555371703	50.508	630.252	803.004	-5.731708	6.829268	-1.829268	-440	-226	-196	0.4246327	0.1214026	-0.3163549	-0.8395642
5	100	1555371703	46.116	640.5	766.404	-4.756098	4.878049	-1.097561	-439	-227	-198	0.4244884	0.1214331	-0.3162938	-0.8396558
5	100	1555371703	31.476	634.644	831.552	-3.292683	3.902439	-1.219512	-439	-227	-198	0.4243772	0.1213721	-0.3163854	-0.8396863
5	100	1555371703	60.756	618.54	793.488	-2.560976	3.658537	-1.341463	-439	-227	-198	0.4242258	0.1213721	-0.3165075	-0.8397168
5	100	1555371703	42.456	640.5	812.52	-3.292683	4.390244	-1.097561	-441	-227	-199	0.4241575	0.1213721	-0.316599	-0.8397168
5	100	1555371703	32.94	631.716	782.508	-3.658537	4.268293	-0.8536586	-439	-228	-197	0.4241059	0.1213416	-0.316599	-0.8397473
5	100	1555371703	57.096	639.768	805.2	-2.926829	3.04878	-1.341463	-439	-227	-201	0.4240549	0.1212806	-0.3166906	-0.8397473
